SKU,product_name,store,positive_rate,positive_count,neutral_count,negative_count,negative_review_1,negative_review_2,negative_review_3,negative_review_4,negative_review_5
100024102298,罗马仕【热销200万+件】充电宝20000毫安22.5W快充 可上飞机苹果20W快充 适用华为苹果小米手机,罗马仕京东自营旗舰店,97%,200000,2000,5000,此用户未填写评价内容,此用户未及时填写评价内容,此用户未及时填写评价内容,此用户未填写评价内容,此用户未及时填写评价内容
100096418777,小米（MI）小米自带线充电宝20000 33W 浅咖色 适用小米/红米/redmi/苹果/安卓/手机 出行便携,小米京东自营旗舰店,98%,100000,1000,1000,充电过程中插头过热烫手,刚买了几天就发现降价了，体验感不好,此用户未填写评价内容,容量很一般，性价比不高！,嗯，那个壳被压的稀烂了，还是有点小
100097634241,CUKTECH酷态科电能块自带线20000毫安时移动电源55W快充充电宝可上飞机适用苹果16三星小米笔记本电脑CP25,CUKTECH酷态科京东自营旗舰店,97%,20000,200,200,充电一个小时一直卡在99格,说好的可以上飞机呢，到机场都给我扣了,此用户未及时填写评价内容,国补的东西有点小瑕疵哈,刚买就降价了，还没有价保，幽默
100073745484,罗马仕30W自带线充电宝20000毫安时双向快充 支持苹果15可上飞机 适用于苹果华为手机平板笔记本 远峰蓝,罗马仕京东自营旗舰店,98%,1000000,10000,10000,刚买1天就降价，看到心不爽,根本没收到货，快递丢了,此用户未填写评价内容,第一天买了第二天就降价了！,东西不错快递慢了一天
100140584252,倍思（Baseus）充电宝20000毫安自带线大容量22.5W快充极速数显适用于苹果15/16全系小米华为安卓移动电源 柔雾咖,倍思（Baseus）京东自营旗舰店,98%,5000,90,89,买回来就那个上面就有划痕花了唉,才用了一次就充不上电,打开快递发现盒子已经被撕开的痕迹，明显这不是纯新包装,充满了，没用会自己掉电,早上八点开始充电，充到晚上九点五十，充到了27%。离谱！
100105445886,绿联充电宝20000毫安22.5W快充 可上飞机大容量迷你小巧便携移动电源适用苹果iPhone16Pro小米华为荣耀,绿联（UGREEN）京东自营旗舰店,98%,20000,200,200,按键间隙不均匀，物流比较慢,充电充的慢速度不行 虚假容量 性价比不行,不是非常耐充，挺厚的，中规中矩吧,说好的送一条数据线，也没给我发过来，体现极差,漏发线说好补发实际没有补发
100200931898,罗马仕（ROMOSS）55W自带线充电宝20000毫安时快充移动电源 可上飞机适用于苹果/小米/红米/华为/笔记本 奶杏色,罗马仕京东自营旗舰店,97%,20000,200,200,原配的数据线居然是坏的,客服给的连接，23点买，00点就降价20，还不告知有***,12小时充电26可以的,充电慢，说的有线，送来没有线,其他特色：充电中时不时停止充电
100157733819,罗马仕（ROMOSS）55W自带线充电宝【京东首发】20000毫安快充移动电源 可上飞机适用于小米/苹果/红米/笔记本 黑色,罗马仕京东自营旗舰店,97%,20000,200,200,原配的数据线居然是坏的,客服给的连接，23点买，00点就降价20，还不告知有***,12小时充电26可以的,充电慢，说的有线，送来没有线,其他特色：充电中时不时停止充电
100199404088,CUKTECH酷态科10号超级电能棒mini10000毫安时充电宝55W快充可拆卸自带线可上飞机适用苹果16/小米15/华为,CUKTECH酷态科京东自营旗舰店,98%,2000,21,26,不支持三星笔记本140瓦pd充电器，用公版pd方案的充电器慎选,遇到一个很不能接受的问题，就是底部跟背部黑色部分的连接处按压会鼓起来，没错，是手指可以感觉到它在鼓动的程度，而且会有咯吱声，可见做工有多差。故，果断退货，提醒一下想冲的朋友。,"体积小巧，但容易出现过热保护的情况。
比如我的k70pro 5%开始充电
期间不亮屏，不动，直接充电到73%就会自动中断，期间充电宝发热严重，需要把线拔掉重新插上才能正常充电，之后不去动手机让它自己充电，80%又回自动断充，就是充电宝本身过热保护了。
过热保护这本来是一种安全机制，但是我手机拿充电宝充电经常突然过热保护严重影响使用体验。故不建议手机充电功率高于45w的小米手机用户，比如我这个k70pro插上mini会自动激活55w档位，但由于充电宝设计过小，散热不足容易导致过热保护断开充电，既然","歧视手机，只有小米才能达到55W，我的华为P60ART两个C口只有18w,USB充电最多23W根本就没有宣传的55W,，",刚买两天就用不了了，差评
10127956763136,epcbook 20000M充电宝自带线毫安快充移动电源超薄小巧便携可上飞机高铁大容量适用于小米苹果华为手机 大容量丨四线快充丨小巧便携 【国家3C认证丨可上飞机】已售100万+大毫安,epcbook京东自营官方旗舰店,99%,5000,40,95,充满电就冲了一个小时就没电了,虚标容量，根本充不了多少电,充了一次隔了几天没用就充不了了，客服还不处理,给手机连一次充电都充不满就没电了 试了几次都不行,一般般，能充一次满的，就没电了
100133826752,京东京造【国家补贴】充电宝20000毫安大容量30W自带线快充移动电源户外可上飞机适用苹果华为小米荣耀手机,京东京造自营旗舰店,99%,10000,100,100,找客服问问题，都回不答不了问题的,储电差，百分之90秒变百分之45,充电慢，而且还发烫，掉电还快。,没用几次，苹果线就充不了电了。,产品不支持随身wifi充电。
100042985009,倍思磁吸充电宝Magsafe无线20W快充移动电源10000毫安适用于苹果16/15/14/13华为小米安卓手机,倍思（Baseus）京东自营旗舰店,97%,20000,500,500,还没有用不知道怎么样,无限充电用不了。没谁了,快递员说送了，货架上没找到，丢了。,裝了手機殼跟本吸不住,充电慢容量小跟描述的不一样
100031532138,小米充电宝移动电源 10000mAh 22.5W 移动电源 苹果20W充电 PD双向快充 银色 适用苹果安卓,小米京东自营旗舰店,97%,200000,5000,5000,您没有填写内容，默认好评,做工质感：快递小哥给力，谢谢。,此用户未及时填写评价内容,用了一个月就好了，现在到是发给厂家维修,充电宝用了三天亏电，这质量真的是够呛
100144381044,绿联充电宝自带线20000毫安30W快充 可上飞机大容量小巧便携移动电源 适用苹果iPhone16/15Pro小米华为,绿联（UGREEN）京东自营旗舰店,99%,5000,41,32,满电苹果16只能充两次,充不进电不让退，早知道你是这个代言人我真的不会考虑,自己会掉电……不推荐,产品还是挺不错，就买了不到一个月，就降了小20块，还不能价保了，无语,这个设计有问题，充电口自带的线连接手机后容易松动，带着出去玩，四天都用不了一半的电，因为你只要稍微一动就断开充电了，我只有到酒店以后不会带着它动，然而酒店里有插座。
100044819549,罗马仕【热卖34万+件】自带线充电宝20000毫安大容量22.5W快充 可上飞机移动电源 适用苹果16华为手机 蓝,罗马仕京东自营旗舰店,97%,50000,1000,1000,有一个借口一送来就坏了,商品好，商家客服回复差,有色差，买的是蓝色，到货是紫色,价格比其它地方贵几十,坏了不给修没法售后，那要售后干嘛。
10142242864010,IMF 直营【顶配50000M丨可上飞机】120W超级快充自带线充电宝小巧移动电源适用安卓苹果小米VIVO手机 流心黄【顶配50000M+提速999】 【全国当日/次日达】顶配50000M丨可上飞机高,IMF旗舰店,100%,2000,0,0,,,,,
